,screen_name
530,nancydelasa
531,nancysanchez_bc
532,ruizmassieu
533,LillyTellez
534,RicardoMonrealA
535,VerdeSenadoMex
536,Corasenadora1
537,jalfredobotello
538,MaluMicher
539,kenialopezr
540,Nuvia_Mayorga
541,sylbeltrones
542,LuciaMezaGzm
543,mmarquezags
544,Veronica_mtz
545,RaulBCCue
546,VeroDelgadilloG
547,Indira_rs
548,geovanna_b
549,rimoba
550,monicaferbal
551,WeraReynoso
552,IndiraKempis
553,osoriochong
554,IfigeniaMtz
555,GabrielGarcia_H
556,damianzepeda
557,jmfocil
558,ClementeCH
559,ErandiBermudez
560,SenadoresdelPAN
561,ClaudiAnaya
562,NarroJose
563,XochitlGalvez
564,salomonj
565,manuelanorve
566,noecastanonr
567,EmilioAlvarezI
568,SusanaHarp
569,DanteDelgado
570,RaulPazMx
571,MarioZamoraG
572,veronicacamino
573,JosefinaVM
574,GustavoMadero
575,julenrementeria
576,eruviel_avila
577,minervahdezmx
578,alelagunes
579,RaulElenes
580,MarybelViIIegas
