,screen_name
433,deputadomarcon
434,Silvio_CFilho
435,alielmachado
436,dep_padrejoao
437,JoseNunesDep
438,IvanValente
439,depjuliodelgado
440,Alceu_Moreira
441,ViniciusPoit
442,PauloAzi
443,carmenzanotto
444,depflaviamorais
445,HugoMottaPB
446,afonso_motta
447,tiago_dimas
448,DepBrunaFurlan
449,depdavitoria
450,depnegromontejr
451,wr22
452,OssesioSilva
453,taliriapetrone
454,soutito_
455,CacaLeao
456,TrzeciakDaniel
457,RochaHildorocha
458,joaocamposdep
459,cassio4011
460,Jorge_Braz
461,assis_carvalho
462,dpmarciomarinho
463,LucasRedecker
464,f_trad
465,WolneyQueirozM
466,MGRodrigoCastro
467,MariliaArraes
468,iracemaportela
469,Doutorluizinhot
470,zachariascalil
471,pradoweliton
472,eduardobarbosa_
473,DomingosSavioMG
474,EliasVazGyn
475,erikakokay
476,depcelsosabino
477,depaelton
478,Baleia_Rossi
479,AcacioFavacho
480,Flaviano_Melo
481,uczai
482,DepMauricioRS
483,celsorussomanno
484,carlosjordy
485,joeniac
486,giovanicherini
487,enioverri
488,depdarcidematos
489,EvairdeMelo
490,heldersalomao
491,LuisTibeOficial
492,gilbertoabramo
493,dep_paulinho
494,AlexManente23
495,Patrus_Ananias
496,LuizNishimori
497,pedroocl
498,DepAfonsoHamm
499,carloschiodini
500,ValmirAssuncao
501,dasilvabenedita
502,VICENTINHOPT
503,BolsonaroSP
504,LeurLomantoJr
505,marciobiolchi
506,eduardobismarck
507,AlencarBraga13
508,DeputadaMariana
509,Daniel_PCdoB
510,tuliogadelha
511,joseildoramos
512,drdamiao
513,enricomisasi
514,diegoandrade_mg
515,ediolopes
516,ProfIsrael
517,depsergiotoledo
518,MarcoBertaiolli
519,laerte_bessa
520,joseleonidas
521,Glauber_Braga
522,celsomaldaner
523,Magdamofatto
524,BetoRosado
525,JoseAirtonPT
526,deuzinhofilho
527,marceloaro
528,christinoaureo
529,BohnGass
530,mariadorosario
531,HenriqueFontana
532,depzeneto1323
533,depdagoberto
534,rodrigoagost
535,subgonzagamg
536,fernandogiacobo
537,erosbiondini
538,fernandofilhope
539,lafayetteandrad
540,rubenspereirajr
541,depHugoLeal
542,falecomvinicius
543,ZeSilva_
544,lincoln_portela
545,DepNilsonPinto
546,GustinhoRibeiro
547,fernandapsol
548,FredCostaDep
549,RicardoIzar
550,dep_acoutinho
551,depjoaomaia
552,stephanesjunior
553,luizaerundina
554,leodebritoac
555,jeronimogoergen
556,vanderloubet
557,RubensOtoni
558,twitnewt
559,ArnaldoJardim
560,gervasiomaia
561,lidicedamata
562,OsmarTerra
563,DeputadoBacelar
564,deppauloguedes
565,RicardoBarrosPP
566,ReginaldoLopes
567,FrancoCartafina
568,aroldomartins
569,guimaraes13PT
570,CamiloPSB
571,marciojerry
572,elcionebarbalh0
573,Altineu
574,caleromarcelo
575,zeca_dirceu
576,alessandromolon
577,MarceloFreixo
578,CarlosZarattini
579,FelixMendoncaJr
580,geninhozuliani
581,perpetua_acre
582,DanielCoelho23
583,23rubensbueno
584,mario_heringer
585,DepArthurMaia
586,Alice_Portugal
587,marceloramosam
588,pauloabiackel
589,jandira_feghali
590,darcisioperondi
591,PompeodeMattos
592,PauloMartins10
593,eduardodafonte
594,rfalcao13
595,marcofeliciano
596,rossoni
597,vanderleimacris
598,gustavofruet
599,gleisi
600,samuelmoreira
601,samiabomfim
602,pauloganime
603,oPedroFernandes
604,dep_clarissa
605,pedrowestphalen
606,marcelvanhattem
607,depchinaglia
608,AecioNeves
609,pedro_lupion
610,denisbezerra
611,renildo
612,RaulHenry
613,fefrancischini
614,LulaOficial
615,presidencia_BR
